Cod_IBGE,Grande região,Município,Mun_Total de casos,Mun_Total de óbitos
3526803,Interior,Lençóis Paulista,11445,172
3526902,Interior,Limeira,16258,701
3527009,Interior,Lindóia,747,17
3527108,Interior,Lins,8349,273
3527207,Interior,Lorena,4656,117
3527256,Interior,Lourdes,260,4
3527306,Interior,Louveira,4343,91
3527405,Interior,Lucélia,1658,53
3527504,Interior,Lucianópolis,193,4
3527603,Interior,Luís Antônio,1863,30
3527702,Interior,Luiziânia,277,10
3527801,Interior,Lupércio,250,7
3527900,Interior,Lutécia,208,6
3528007,Interior,Macatuba,2700,55
3528106,Interior,Macaubal,759,15
3528205,Interior,Macedônia,352,19
3528304,Interior,Magda,222,8
3528403,Interior,Mairinque,3853,52
3528502,RMSP (exceto capital),Mairiporã,6383,211
3528601,Interior,Manduri,824,15
3528700,Interior,Marabá Paulista,95,3
3528809,Interior,Maracaí,2014,45
3528858,Interior,Marapoama,449,14
3528908,Interior,Mariápolis,225,6
3529005,Interior,Marília,26966,811
3529104,Interior,Marinópolis,195,3
3529203,Interior,Martinópolis,1300,68
3529302,Interior,Matão,4896,169
3529401,RMSP (exceto capital),Mauá,27019,1397
3529500,Interior,Mendonça,830,28
3529609,Interior,Meridiano,315,28
3529658,Interior,Mesópolis,183,2
3529708,Interior,Miguelópolis,1023,77
3529807,Interior,Mineiros do Tietê,1231,22
3529906,Interior,Miracatu,2043,61
3530003,Interior,Mira Estrela,325,11
3530102,Interior,Mirandópolis,1999,93
3530201,Interior,Mirante do Paranapanema,876,33
3530300,Interior,Mirassol,8767,241
3530409,Interior,Mirassolândia,560,14
3530508,Interior,Mococa,5321,197
3530607,RMSP (exceto capital),Mogi das Cruzes,28834,1454
3530706,Interior,Mogi Guaçu,16894,504
3530805,Interior,Mogi Mirim,8997,311
3530904,Interior,Mombuca,379,6
3531001,Interior,Monções,227,5
3531100,Interior,Mongaguá,1510,81
3531209,Interior,Monte Alegre do Sul,593,8
3531308,Interior,Monte Alto,5589,157
3531407,Interior,Monte Aprazível,2830,83
3531506,Interior,Monte Azul Paulista,2185,23
3531605,Interior,Monte Castelo,555,15
3531704,Interior,Monteiro Lobato,241,7
3531803,Interior,Monte Mor,5872,117
3531902,Interior,Morro Agudo,4441,97
3532009,Interior,Morungaba,961,19
3532058,Interior,Motuca,338,9
3532108,Interior,Murutinga do Sul,358,13
3532157,Interior,Nantes,229,6
3532207,Interior,Narandiba,775,21
3532306,Interior,Natividade da Serra,188,7
3532405,Interior,Nazaré Paulista,1414,40
3532504,Interior,Neves Paulista,1301,39
3532603,Interior,Nhandeara,1245,42
3532702,Interior,Nipoã,475,15
3532801,Interior,Nova Aliança,1034,23
3532827,Interior,Nova Campina,784,27
3532843,Interior,Nova Canaã Paulista,264,4
3532868,Interior,Nova Castilho,93,3
3532900,Interior,Nova Europa,727,28
3533007,Interior,Nova Granada,2856,67
3533106,Interior,Nova Guataporanga,209,3
3533205,Interior,Nova Independência,403,4
3533254,Interior,Novais,295,11
3533304,Interior,Nova Luzitânia,329,10
3533403,Interior,Nova Odessa,6125,178
3533502,Interior,Novo Horizonte,5226,187
3533601,Interior,Nuporanga,372,9
3533700,Interior,Ocauçu,358,4
3533809,Interior,Óleo,104,1
3533908,Interior,Olímpia,9275,235
3534005,Interior,Onda Verde,844,24
3534104,Interior,Oriente,316,21
3534203,Interior,Orindiúva,1259,18
3534302,Interior,Orlândia,4299,116
3534401,RMSP (exceto capital),Osasco,40058,2306
3534500,Interior,Oscar Bressane,279,7
3534609,Interior,Osvaldo Cruz,4103,114
3534708,Interior,Ourinhos,12459,339
3534757,Interior,Ouroeste,1179,24
3534807,Interior,Ouro Verde,622,22
3534906,Interior,Pacaembu,1205,30
3535002,Interior,Palestina,626,32
3535101,Interior,Palmares Paulista,1394,39
3535200,Interior,Palmeira d'Oeste,675,13
3535309,Interior,Palmital,2524,64
3535408,Interior,Panorama,1309,44
3535507,Interior,Paraguaçu Paulista,4562,147
3535606,Interior,Paraibuna,1174,40
3535705,Interior,Paraíso,470,21
3535804,Interior,Paranapanema,1840,63
3535903,Interior,Paranapuã,402,16
3536000,Interior,Parapuã,1263,33
3536109,Interior,Pardinho,731,15
3536208,Interior,Pariquera-Açu,2220,57
3536257,Interior,Parisi,402,16
3536307,Interior,Patrocínio Paulista,936,29
3536406,Interior,Paulicéia,587,13
3536505,Interior,Paulínia,13978,254
3536570,Interior,Paulistânia,145,6
3536604,Interior,Paulo de Faria,612,24
